data_collection_site,instructions_text_top,instructions_text_bottom,block_id,example_image,trial_number,stimulus,trial_type,target_trial,surveillance_correct_response,filler_1_items,filler_2_items,middle_text,left_text,right_text,evaluation_stimulus,left_stimulus,right_stimulus,evaluation_response_indicating_CS1_preferred,awareness_1_question_text,awareness_2_question_text,awareness_2_response_max,record_data_collection_site_variable.thisRepN,record_data_collection_site_variable.thisTrialN,record_data_collection_site_variable.thisN,record_data_collection_site_variable.thisIndex,surveillance_instructions_loop.thisRepN,surveillance_instructions_loop.thisTrialN,surveillance_instructions_loop.thisN,surveillance_instructions_loop.thisIndex,surveillance_blocks_loop.thisRepN,surveillance_blocks_loop.thisTrialN,surveillance_blocks_loop.thisN,surveillance_blocks_loop.thisIndex,surveillance_trials_loop.thisRepN,surveillance_trials_loop.thisTrialN,surveillance_trials_loop.thisN,surveillance_trials_loop.thisIndex,filler_1_instructions_loop.thisRepN,filler_1_instructions_loop.thisTrialN,filler_1_instructions_loop.thisN,filler_1_instructions_loop.thisIndex,filler_1_loop.thisRepN,filler_1_loop.thisTrialN,filler_1_loop.thisN,filler_1_loop.thisIndex,filler_2_instructions_loop.thisRepN,filler_2_instructions_loop.thisTrialN,filler_2_instructions_loop.thisN,filler_2_instructions_loop.thisIndex,filler_2_loop.thisRepN,filler_2_loop.thisTrialN,filler_2_loop.thisN,filler_2_loop.thisIndex,evaluation_instructions_loop.thisRepN,evaluation_instructions_loop.thisTrialN,evaluation_instructions_loop.thisN,evaluation_instructions_loop.thisIndex,evaluation_loop.thisRepN,evaluation_loop.thisTrialN,evaluation_loop.thisN,evaluation_loop.thisIndex,evaluation_trials.thisRepN,evaluation_trials.thisTrialN,evaluation_trials.thisN,evaluation_trials.thisIndex,awareness_instructions_loop.thisRepN,awareness_instructions_loop.thisTrialN,awareness_instructions_loop.thisN,awareness_instructions_loop.thisIndex,awareness_1_trials_loop.thisRepN,awareness_1_trials_loop.thisTrialN,awareness_1_trials_loop.thisN,awareness_1_trials_loop.thisIndex,awareness_2_trials_loop.thisRepN,awareness_2_trials_loop.thisTrialN,awareness_2_trials_loop.thisN,awareness_2_trials_loop.thisIndex,end_message_loop.thisRepN,end_message_loop.thisTrialN,end_message_loop.thisN,end_message_loop.thisIndex,condition,surveillance_response.keys,surveillance_response.corr,filler_1_rating.response,filler_1_rating.rt,filler_2_rating.response,filler_2_rating.rt,evaluation_response.keys,evaluation_response.corr,evaluation_response.rt,inputText,awareness_1_response.keys,awareness_1_response.rt,awareness_type_2_rating.response,awareness_type_2_rating.rt,age,gender,participant,UseMonkey,date,expName,psychopyVersion,frameRate
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,11,stimuli/cs1_pos16.jpg,CSUS,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,12,stimuli/blank.jpg,blank,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,13,stimuli/filler2.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,14,stimuli/filler12.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,15,stimuli/filler46.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,16,stimuli/filler33.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,17,stimuli/filler31.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,18,stimuli/filler14.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,19,stimuli/filler23.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,20,stimuli/blank.jpg,blank,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,21,stimuli/cs2_neg10.jpg,CSUS,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,22,stimuli/blank.jpg,blank,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,23,stimuli/filler27.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,24,stimuli/target1_5.jpg,target,TRUE,space,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,0,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,25,stimuli/target1_6.jpg,target,TRUE,space,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,0,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,26,stimuli/filler38.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,27,stimuli/filler34.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,28,stimuli/filler13.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,29,stimuli/filler47.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,30,stimuli/blank.jpg,blank,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,31,stimuli/cs1_pos8.jpg,CSUS,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,32,stimuli/blank.jpg,blank,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,33,stimuli/filler4.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,34,stimuli/filler15.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,35,stimuli/target1_10.jpg,target,TRUE,space,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,0,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,36,stimuli/target1_4.jpg,target,TRUE,space,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,0,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,37,stimuli/filler19.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,38,stimuli/filler20.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,39,stimuli/filler40.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
