compid,exclude awere,paper,comp1,"publised (1 = yes, 2 = no)",Exp,"multipule comarisions (0, 1 = more than one DV, 2 = different sample exclusions)",Note multipule comarisions,Cond,cond - MM,flashed?,target,N pairing for each CS,presntation Duration,N blocks,N trials per Block,awerness test,delay between task and measure,measure ,measure type,analyzed N,excluded for awerness,Mean EC,STD EC,t,d,var d ,df ,j ,g,var g,coments
16,yes,Kendrick & Olson (2012),1,1,2,0,none,Expert feedback,high,no,Pokémon,20,1500,5,86,Did you notice anything unusual about the images presented during the surveillance task?”; “Did you notice anything about the images which were shown next to Metapod and Shelder?”; “Did you feel that you were supposed to respond in a particular way to the Pokémon characters on the evaluation task?”,20 Min,Forced choice,exp,69,15,0.51,1.44,2.92,0.35,0.015380435,68,0.988929889,0.346125461,0.015041793,the d reported in the paper is d =0.71. but the d computed from the reported mean (STD) or from the reported t is 0.35
18,yes,"Bar-Anan, De Houwer, & Nosek (2010)",1,1,1,2,only unawere across number of pairing conditions,across number of pairing,normal,no,Pokémon (pretested),Dec-32,1200,practice + 2,90-100,"For some participants, during the first task, there was one character that always appeared with positive images and words and one that always appeared with negative images and words, do you think it happened in your case?",none,warn/cold feelings,exp,413,157,0.19,2.1,1.83,0.09,0.002431114,412,0.998178506,0.089836066,0.002422265,
19,yes,"Bar-Anan, De Houwer, & Nosek (2010)",1,1,2,2,only unawere across number of pairing conditions,across number of pairing,normal,no,Pokémon (pretested),12-Apr,1200,practice + 2,90-100,"For some participants, during the first task, there was one character that always appeared with positive images and words and one that always appeared with negative images and words, do you think it happened in your case?",none,warn/cold feelings,exp,487,104,0.1,2.17,1,0.04,0.002055031,486,0.998455996,0.03993824,0.00204869,
20,yes,"Luethi, Meier, & Sandi (2009)",1,1,1,0,none,control,normal,no,Pokémon,20,?,5,86,CS-US covariation awareness was controlled using a funnelled multiple-choice questionnaire at the end of the testing phase,none,positivity/negativity of the picture,exp,12,4,-0.75,2,-1.3,-0.37,0.0890375,11,0.930232558,-0.344186047,0.077047052,
21,yes,"Luethi, Meier, & Sandi (2009)",1,1,1,0,none,stressed,normal,no,Pokémon,20,?,5,86,CS-US covariation awareness was controlled using a funnelled multiple-choice questionnaire at the end of the testing phase,none,positivity/negativity of the picture,exp,13,6,1.15,1.9,2.17,0.6,0.090769231,12,0.936170213,0.561702128,0.079551485,"d from reported mean and std = 0.60, d from reported  t = 0.62."
22,yes,"Crandall et al., 2011",1,1,2,0,after exclusions,none,normal,no,countries: Eritrea and Mauritania,20,?,5,86,Starting with vague open-ended questions and becoming increasingly more direct in regard to the contingency between target countries and affective USs,none,positivity of feeling,exp,92,13,,,,0.22,0.011132609,91,0.991735537,0.218181818,0.010949359,
23,yes,"Crandall et al., 2011",1,1,3,0,after exclusions,none,normal,no,countries: Eritrea and Mauritania/or Azerbaijan and Mauritania,20,?,5,86,Starting with vague open-ended questions and becoming increasingly more direct in regard to the contingency between target countries and affective USs,none,positivity of feeling,exp,116,14,,,,0.06,0.008636207,115,0.993464052,0.059607843,0.008523684,
24,yes,Bahns (2017),1,1,1,0,none,none,normal,no,countries: Eritrea and Mauritania,20,1500,5,86,a funneled debriefing interview assessed participants’ awareness of the contingencies between target countries and affective stimuli.,none,Feeling thermometer,exp,76,19,,,,0.09,0.013211184,75,0.989966555,0.08909699,0.012947407,
25,yes,Bahns (2017),1,1,2,1,good-bad traits,none,normal,no,countries: Eritrea and Mauritania,20,1500,5,86,a funneled debriefing interview assessed participants’ awareness of the contingencies between target countries and affective stimuli.,none,good-bad trait,exp,86,28,,,,0.01,0.011628488,85,0.991150442,0.009911504,0.011423585,
25,yes,Bahns (2017),1,1,2,1,feeling,none,normal,no,countries: Eritrea and Mauritania,20,1500,5,86,a funneled debriefing interview assessed participants’ awareness of the contingencies between target countries and affective stimuli.,none,Feeling thermometer,exp,86,28,,,,0.14,0.01174186,85,0.991150442,0.138761062,0.011534959,
26,yes,Bahns (2017),1,1,3,0,none,Threat manipulation—Threat-plausible,normal,no,countries: Guyana and Suriname,20,1500,5,86,a funneled debriefing interview assessed participants’ awareness of the contingencies between target countries and affective stimuli.,none,Feeling thermometer,exp,54,6,,,,0.34,0.019588889,53,0.985781991,0.335165877,0.019035819,
27,yes,Bahns (2017),1,1,3,0,none,Threat manipulation—Threat-implausible,normal,no,countries: Guyana and Suriname,20,1500,5,86,a funneled debriefing interview assessed participants’ awareness of the contingencies between target countries and affective stimuli.,none,Feeling thermometer,exp,52,6,,,,0.11,0.019347115,51,0.985221675,0.108374384,0.018779505,
28,yes,Stahl & Heycke (2016),1,1,1,0,none,none,normal,no,Pokémon,10,1500,5,86,a funneled debriefing interview assessed participants’ awareness of the contingencies between target countries and affective stimuli.,none,evaluative rating,exp,58,2,2.38,,5.03,0.66,0.020996552,57,0.986784141,0.651277533,0.020445244,
